Channel,Number_of_Peaks,Mean_RR_Interval,Std_RR_Interval,Mean_Heart_Rate,Std_Heart_Rate
Channel_1,13,363.5,1.118033988749895,82.53172987886735,0.2538490156057891
Channel_2,15,311.64285714285717,82.16847426638337,106.10193999068245,37.31681860369172
Channel_3,12,396.6363636363636,105.74521070373287,78.82233178053583,11.952575955819134
Channel_4,28,181.62962962962962,1.3094570021973104,165.17985549388922,1.1882881383123653
Channel_5,14,363.38461538461536,1.3323467750529827,82.5582677746222,0.3035123432903977
Channel_6,14,363.46153846153845,1.499506822278302,82.54108743956945,0.34053211826812857
Channel_7,14,363.46153846153845,1.0088366960464614,82.54031865843503,0.2291802824877317
Channel_8,14,363.46153846153845,1.2162606385262997,82.5406081432298,0.27660457146289785
Channel_9,13,363.5833333333333,1.3819269959814167,82.51322583797084,0.3138357951834458
Channel_10,14,363.46153846153845,1.2162606385262997,82.5406081432298,0.27660457146289785
Channel_11,13,363.5,1.0408329997330663,82.53162620504014,0.2364705161458789
Channel_12,26,189.0,35.7659055526349,161.8082141795588,16.28539820569314
