,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12
B1,18.55461047,44.639589750999995,20.880157214000004,-30.400656399999995,-1.952793308000001,30.24843573,-100.2822113379,-202.50321241600003,-69.10593922,53.525735499999996,84.839345893,79.25041464
B2,19.511423669999996,35.642478057999995,12.096163603,-26.431876444,3.5656798199999993,21.375992213999996,-91.95812658001,-170.01156672,-59.80709957999999,41.30473354,68.0415039,61.384562872000004
B3,17.603644314999997,43.060158785,21.221112085,-29.125834633,-2.4325174429999996,29.49268905,-99.59626446100002,-199.2842837,-66.35795421,54.63857709999999,84.07840702000001,71.99997986999999
B4,19.301610359999998,38.343965929999996,14.649029724999998,-27.44694933,1.70407122,23.853236121000002,-85.2926956864,-163.99379253000004,-48.00840115,58.428433510000005,80.430913044,66.878129113
B5,18.79777402,42.5520282543,19.78390891,-29.524524359999997,-1.409816780000001,28.090614642000002,-98.8613130207,-204.2772654,-70.24446329,51.262831150000004,81.70737541999999,73.22159689
