,Channel,Reconstruction_Error
0,Channel_1,351.70555862325455
1,Channel_2,1668.5300950872854
2,Channel_3,314.21383643917636
3,Channel_4,817.1575982410052
4,Channel_5,0.011155086288895305
5,Channel_6,708.208882556623
6,Channel_7,9062.682483538041
7,Channel_8,35349.275110541224
8,Channel_9,3931.891278883454
9,Channel_10,2686.5629671831957
10,Channel_11,6371.154082028739
11,Channel_12,4976.870354142152
